symbol,ex_low,ex_high,ema_mean,ema_var,count,updated_ms
BROCCOLIUSDT,gate,bybit,0.001949125380361,9.086198614003166e-07,75,1761881101954
BRUSDT,gate,binance,0.0018054483887706,1.1670755331850114e-06,53,1761881101957
BRUSDT,gate,bybit,0.0016958611780976,9.038681605598144e-07,50,1761881101960
BRUSDT,binance,bybit,-0.00017975787775763077,1.12017964684509e-06,66,1761961145853
BSVUSDT,bybit,gate,0.0004545024464949,3.395177450705232e-07,55,1761879180122
BSVUSDT,bybit,binance,0.0003163813257739,5.650570686748839e-07,17,1761860640710
BSVUSDT,gate,binance,0.0003691603479945,7.125986574933812e-07,14,1761862600760
BTCUSDT,gate,binance,6.863167618520345e-05,1.2492518328460266e-07,42,1761881101980
BTCUSDT,gate,bybit,8.570111702239335e-05,1.6935641281650957e-07,36,1761880150317
BTCUSDT,binance,bybit,8.486392429556084e-05,1.389710492022819e-07,40,1761879180128
BTRUSDT,gate,bybit,0.0018180605371194,1.905577591657204e-06,69,1761881101987
BTRUSDT,gate,binance,0.0022875480075411,1.3074409631636794e-06,64,1761881101984
BTRUSDT,bybit,binance,0.0007399994792099437,3.728709783607646e-07,64,1761963022816
BUSDT,gate,binance,0.0015346937182935,8.775563664902018e-07,60,1761881101992
BUSDT,gate,bybit,0.0015837435831759,7.356506555372084e-07,73,1761881101994
BUSDT,binance,bybit,0.0004860423676147127,6.114640968665023e-07,67,1761960214756
C98USDT,gate,binance,0.0012536932475717,5.727025795594168e-07,28,1761879180154
C98USDT,gate,bybit,0.0011450763243473,9.916636049388196e-07,27,1761881102004
C98USDT,binance,bybit,0.0007681716846595243,8.157246320111867e-07,50,1761941665676
CAKEUSDT,gate,bybit,0.0003316122863537,1.4873706914887721e-07,46,1761881102008
CAKEUSDT,gate,binance,0.0004324419242506,9.40552354661153e-08,66,1761881102010
CAKEUSDT,bybit,binance,0.0002397032074000957,7.032201528093342e-08,70,1761961145886
CAMPUSDT,bybit,gate,0.0008033729769421,8.769477691973859e-07,63,1761881102015
CARVUSDT,bybit,gate,0.0009522602302779,8.1323789082409e-07,66,1761879180171
CARVUSDT,bybit,binance,0.0009216962923489229,6.337573604051547e-07,106,1761963022838
CARVUSDT,gate,binance,0.0009627579726534,3.47977030319468e-07,58,1761881102020
CATIUSDT,bybit,binance,0.00181785137721962,9.420332871031133e-08,118,1761963022844
CATIUSDT,bybit,gate,0.0013850325842781,4.375089635177005e-07,78,1761881102026
